Speaker0017_1.0	四的平方是多少呀？	四平方是多少呀	四平方是多少呀！	十平方是多少呀	四的平方是多少啊	四的平方是多少呀	
Speaker0017_2.0	根号九等于多少？	根号九的多少呀	根号九的多少？	根号九的多少	跟好久的多少	根号九的多少	
Speaker0017_3.0	哪可以买飞机票？	打开买飞机票。	然后可以买飞机票。	飞机票哪买	那可以买飞机票	打可以买飞机票	
Speaker0017_4.0	飞机票多少钱？	飞机票多少钱。	飞机票多少钱？	飞机票多少钱	飞机票多少钱	飞机票多少钱	
Speaker0017_5.0	从北京到天津的火车票多少钱？	北京到天津的火车票多少钱。	北京到天津的，火车票。	北京到天津的火车票要多少钱	北京到天津的火车票要多少钱	北京到天津的火车票要多少钱	
Speaker0017_6.0	我想从北京到广州，您可以帮我定一张票吗？	我想从北京到广州能可以帮我订一张票。	我想从北京到广州能可以帮我订一张票吗？	晚上从北京到广州您可以帮我订一张票	晚上从北京到广州您可以帮我订一张票	晚上从北京到广州能可以帮我定一张票	
Speaker0017_7.0	我快饿死了，附近有什么美食吗？	我快饿死了附近有什么美食吗？	我快饿死了附近有什么美食吗？	我快饿死了附近有什么美食吗	我快饿死了不了什么美食吗	我快饿死了附近有什么美食吗	
Speaker0017_8.0	附近哪家美食最好吃？	附近哪家美食最好吃的	哪家美食最好吃。	哪家美食最好吃	附近哪家美食最好吃啊	附近哪家美食最好吃啊	
Speaker0017_9.0	附近的商店在哪？	附近的商店在哪儿	附近的商店在哪？	附近的商店在哪	附近的商店在哪	附近的商店在哪	
Speaker0017_10.0	附近有网吧吗？	我联网了吗	附近网吧吗？	附近网吧吗	浮梁网吧吗	附近网吧	
Speaker0017_11.0	最近股票涨了还是跌了？	最近股票涨了还是跌了	最近股票涨了还是跌了。	最近股票涨了二十	最近股票涨了二十	最近股票涨二点了	
Speaker0017_12.0	我想买一只股票，怎么买？	我想买一只股票怎么买。	我想买一只股票，怎么买？	我想买一只股票怎么买	我想买一只股票怎么买	我想买一只股票怎么买	
Speaker0017_13.0	OPPO 手机的性能怎么样？	oppo手机的性能怎么样	oppo手机的性能怎么样？	oppo手机的性能怎么样	oppo手机的性能怎么样	oppo手机的性能怎么样	
Speaker0017_14.0	X Boss 玩的怎么样？	查找我的玩儿的怎么样。	查不完的。	茶包子玩的怎么样	插爆什么了	差抱死完了怎么样	
