Speaker0097_1.0	九千九百九十九块钱差多少钱凑够一万块钱？	九百九十九块钱。	九千九百九十九块块钱差多少钱才够一万块钱。	九千九百九十九块钱差多少钱才够一百块钱	九千九百九十九块钱差多少钱	九千九百九十九块钱相差多少钱超过一万块钱	
Speaker0097_2.0	七十二加三十六等于多少？	西汉加三十六等于多少。	七十二加三十六等于多少？	七十二加三十六等于多少	thi加三十六乘多少	七十二加三十六等于多少	
Speaker0097_3.0	北京到香港的班次呃都有几点到几点的？	北京到香港的。	北京到香港的，单。	北京到香港的班次都有几点到几点了	北京到香港的班次都有几点到几点	北京到香港的班次	
Speaker0097_4.0	从乌鲁木齐到香港需要多长时间？	从乌鲁木齐到香港需要多少时间。	从乌鲁木齐到香港需要多少	从乌鲁木齐到香港需要多少时间	从乌鲁木齐到香港需要多长时间	木漆到香港需要多少时间	
Speaker0097_5.0	从张家口到北京的火车票的价格是多少钱？	从北京到张家口的火车票多少钱。	到张家口的火车票多少钱？	从北京到张家口的火车票是多少钱	北京首创火车票是多少钱	从北京到张家口的火车票是多少钱	
Speaker0097_6.0	从北京到张家口的火车票是多少钱？	北京到张家口的火车票是多少钱。	从北京到张家口的火车票是多少钱？	从北京到张家口的火车票是多少钱	北京到张家口的火车票是多少钱	北京到张家口的火车票是多少钱	
Speaker0097_7.0	最近的鲍师傅在哪里？	最近的超市。	最近的包子铺在哪里？	最近的超市在哪里	最近的公式服在哪里	最近的高速在哪里	
Speaker0097_8.0	最近的火锅店在哪里？	最近的火锅店在哪里。	最近的火锅店在哪里？	最近的火锅店在哪里	北京的火锅店在哪里	最近的火锅店在哪里	
Speaker0097_9.0	到北京城市学院怎么走？	到北京城市学院怎么走。	到北京城市学院怎么走？	海到北京城市学院怎么走	到北京城市学院怎么走	逗比晋城市学院怎么走	
Speaker0097_10.0	到汇星物美店怎么走？	安徽省无为县怎么走。	到彗星物美店怎么走？	高慧娴物美店怎么走	到惠新物美店怎么走	到惠新物美店怎么走	
Speaker0097_11.0	现在买什么股票好啊？	现在买什么股票好啊。	现在买什么股票好啊！	现在买什么股票好啊	现在买什么股票好	现在买什么股票好	
Speaker0097_12.0	现在华金佳的情况怎么样了？	现在黄金价格情况怎么样了。	现在发现家里情况怎么样了？	夏天家里电话怎么样了	现在黄金价钱	我就叫的情况怎么了	
Speaker0097_13.0	现在脉动有几个口味？	现在没空有几种口味。	现在脉动有几个考位。	现在美洞有几个口味	现在脉动有借口未	现在脉动邮件口味	
Speaker0097_14.0	现在 vivo 手机的最低价格是多少钱？	现在vivo手机的最低价格是	为自己的手机上现在有多少个软件。	下载微我手机的最低价格是多少钱	现在为我手机的价格是多少钱	现在Volvo手机的最低价格是多少钱	
Speaker0097_15.0	红烧狮子头怎么做？	红烧狮子头怎么做？	红烧狮子头怎么做。	红烧狮子头怎么做	红烧狮子头怎么做	红烧狮子头怎么做	
Speaker0097_16.0	素炒白菜可不可以不加醋？	素炒白菜可不可以不加醋。	炒白菜和不可以。	素炒白菜可不可以不加粗	素炒白菜可以不加醋	素炒白菜可不可以不加处	
