Speaker0052_1.0	你像四则运算一般怎样计算呢？	你想死的印象一般怎么样计算了	你上次的运算一般怎样运算呢！	你相似的运算一般怎样计算了	你想死e31班奖计算了普通话	你想死一三一般讲究算了	
Speaker0052_2.0	一般的四则运算可以运用在函数当中吗？	一般的四则运算可以用在函数当中吗	运算可以应用在函数当中吗？	一般的私人宴上可以用在函数当中吗	一般的死因上可以用在函数当中吗	四in上可以用在	
Speaker0052_3.0	现在有去往西安的飞机票？	今晚有期望西安的飞机票吗？	今晚有去往西安的飞机票吗？	现在有去往西安的飞机票	现在有去往西安的飞机票吗	现在有去往前飞的飞机票吗	
Speaker0052_4.0	现在有去往成都的飞机票吗？	现在有期望成都的飞机票吗？	现在有去往成都的飞机票吗？	现在有去往成都的飞机票吗	现在有去往成都的飞机票吗	现在有去往成都的飞机票吗	
Speaker0052_5.0	火车票可以签退吗？	火车票可以签退吗？	火车票可以签退吗？	火车票可以退吗	火车票可以签退吗	火车票可以前去吗	
Speaker0052_6.0	未成年可以购买火车票吗？	未成年可以购买火车票吗？	未成年可以购买火车票吗？	未成年可以购买火车票吗	未成年可以购买火车票吗	未成年可以购买火车票吗	
Speaker0052_7.0	这附近有什么好吃的美食？	这附近有什么好吃的美食。	这附近有什么好吃的美食。	这附近有什么好吃的美食	这附近有什么好吃的美食	这附近有什么好吃的美食	
Speaker0052_8.0	长沙附近有什么好吃的美食？	长沙附近有什么好吃的美食	长沙附近有什么好吃的美食。	长沙附近有什么好吃的美食	长沙附近有什么好吃的美食	长沙附近有什么好吃的美食	
Speaker0052_9.0	人民大学附近的地铁站在哪儿？	人民大学附近的地铁站在哪儿	人民大学附近的地铁站在哪？	人民大学附近的地铁站在哪	人民大学附近的地铁站在哪	人民大学附近的地铁站在哪	
Speaker0052_11.0	什么是股票？	什么是股票	什么是股票？	什么是股票	什么是股票	什么是股票	
Speaker0052_12.0	炒股有什么要求？	炒股有什么要求。	炒股有什么要求？	炒股有什么要求	炒股有什么要求	炒股有什么要求	
Speaker0052_13.0	安踏衣服附近有卖的吗？	安踏衣服附近有卖吗？	安踏衣服附近有卖的吗？	安踏衣服附近有卖的吗	安踏衣服附近有卖的吗	安踏衣服附近有卖的吗	
Speaker0052_14.0	附近有卖华为的手机吗？	附近有卖华为的手机吗	附近有卖华为的手机吗？	附近有卖华为的手机吗	附近有卖华为的手机吗	附近有卖华为的手机吗	
Speaker0052_15.0	一线城市有米其林餐厅吗？	一线城市有米其林餐厅吗？	一线城市有米其林餐厅吗？	一线城市有米其林餐厅吗	一线城市有米其林餐厅吗	1000程序有米其林餐厅吗	
Speaker0052_16.0	米其林餐厅在二线城市分布的情况。	米其林餐厅在二线城市分布的情况。	米其林餐厅在二线城市分布的情况。	米其林餐厅在二线城市分布的情况	米其林餐厅在二线城市分布的情况	你今年餐厅在二线城市分布的情况	
Speaker0052_17.0	中国传媒大学在什么位置？	中国传媒大学在什么位置	中国传媒大学在什么位置。	中国传媒大学在什么位置	中国传媒大学在什么位置	中国传媒大学在什么位置	
Speaker0052_18.0	北京体育大学附近的地铁站。	北京体育大学附近的地铁站	北京体育大学附近的地铁站。	北京体育大学附近的地铁站	北京体育大学附近的地铁站	北京体育大学附近的地铁站	
Speaker0052_19.0	今天成都天气状况。	成都今天天气状况	今天成都天气状况。	今天成都天气状况	今天成都天气状况	今天成都天气状况	
Speaker0052_20.0	海淀空气质量。	海淀空气质量	海淀空气质量。	海淀空气质量	海淀空气质量	海淀空气质量	
Speaker0052_21.0	地铁里面有卖水果的吗？	一天里面有卖水果的吗？	地铁里面有卖水果的吗？	地铁里面有卖水果的吗	地铁里面有卖水果的吗	地铁里面有卖水果的吗	
Speaker0052_22.0	五道口附近有星巴克吗？	五道口附近有星巴克吗？	五道口附近有星巴克吗？	五道口附近有星巴克吗	五道口附近有星巴克吗	五道口附近有星巴克吗	
Speaker0052_23.0	什么游戏最好玩？	什么游戏最好玩。	什么游戏最好玩？	什么游戏最好玩	什么游戏最好玩	什么游戏最好玩	
Speaker0052_24.0	现在年轻人都喜欢玩英雄联盟吗？	现在年轻人都想玩英雄联盟吗？	现在年轻人都想玩英雄联盟吗？	现在年轻人都想玩英雄联盟吗	现在年轻人都想玩英雄联盟吗	现在年轻人都想玩英雄联盟吗	
Speaker0052_25.0	新闻是为谁服务的？	分析为谁服务的。	新闻是为谁服务的？	新闻是为谁服务的	新闻是为谁服务的	新闻是未遂服务的	
Speaker0052_26.0	现在年轻人喜欢，都喜欢看新闻吗？	现在年轻人喜欢都喜欢看新闻吗？	现在年轻人喜欢都喜欢看新闻吗？	现在年轻人喜爱的想看新闻吗	现在年轻人想的想看新闻呢	现在年轻人喜欢都想看新闻了	
Speaker0052_27.0	今晚设置一个九点钟的闹钟。	今晚设置一个九点钟的闹钟。	今晚设置一个九点钟的闹钟。	今晚设置一个九点钟的闹钟	今晚设置一个九点钟的闹钟	今晚设置一个九点钟的闹钟	
