Speaker0119_1.0	三加二等于几？	三加二等于几啊。	三加二等于几啊！	加二等于几	三十二周孕检	三加二等于几呀	
Speaker0119_2.0	四乘三等于几？	四车三等于几。	四乘三等于几啊！	四川三等于几呀	四川三本御景	四乘三等于几	
Speaker0119_3.0	北京到山西的飞机票还有吗？	北京到山西的飞机票还有吗？	北京到山西的飞机票还有吗？	北京到山西的飞机票还有吗	北京到山西的飞机票还有吗	北京到山西的飞机票还有吗	
Speaker0119_4.0	北京到山西的飞机票，现在是多少钱？	北京到山西的飞机票现在是多少钱。	北京到山西的飞机票现在是多少钱？	北京到山西的飞机票现在是多少钱	北京到山西的飞机票现在是多少钱	北京到山西的飞机票现在是多少钱	
Speaker0119_5.0	北京到山西，现在有动车票吗？	北京到山西现黑影动车票吗？	北京到山西现在有动车票吗？	北京到山西现在有动车票吗	北京到山西现在有动车票吗	北京到山西现在车票吗	
Speaker0119_6.0	现在还能买到北京到山西的动车票吗？	现在还能买到北京到山西的动车票吗？	现在还能买到北京到山西的动车票吗？	现在还能买到北京到山西的动车票吗	现在还能买到北京到山西的动车票吗	现在还能买到北京到山西的度假票吗	
Speaker0119_7.0	重庆有卖凉皮的吗？	附近有卖凉皮吗	附近有卖凉皮吗？	附近有卖凉皮的吗	附近有卖凉皮吗	附近有卖凉皮的吗	
Speaker0119_8.0	附近有卖肉夹馍的吗？	附近有没有肉夹馍他们？	附近有卖肉夹馍的吗？	福建有卖肉夹馍的吗	附近有美术家模特	附近有没有肉夹馍的吗	
Speaker0119_9.0	附近有没有大型停车场？	附近有没有大学停车场？	附近有没有大型停车场.	附近有没有大学停车场	附近有没有大学停车场	附近有没有大型的停车场	
Speaker0119_10.0	附近有学校吗？	附近有学校吗？	附近有学校吗？	附近有学校吗	附近有学校吗	你是有学校吗	
Speaker0119_11.0	最近股市还赚钱吗？	最近股市还赚钱吗？	最近股市还赚钱吗？	最近股市还在前吗	继续股市还在钱吗	最近股市还转钱吗	
Speaker0119_12.0	哪只股票现在涨势更好？	哪只股票现在涨是更好。	那只股票现在长势更好.	哪只股票现在找十个好	那只股票现在涨的好	那只股票现在涨是更好	
Speaker0119_13.0	最近有配老花镜的地方吗？	最近有配老花镜的地方吗？	最近有配老花镜的地方吗？	最近有配老花镜的地方吗	最近有配老花镜的地方吗	最近有配老花镜的地方吗	
Speaker0119_14.0	老花镜什么牌子的比较好？	老花镜什么牌子的比较好。	老花镜什么牌子的比较好？	老花镜什么牌子的比较好	老花镜什么牌子的比较好	我发现什么牌子的比较好	
Speaker0119_15.0	川菜难学吗？	川菜乃行吗？	川菜难学吗？	川菜买什么	川菜难学吗	川菜难学吗	
Speaker0119_16.0	水煮鱼里边要放好多的辣椒吗？	属于里边要放好多的辣椒吗？	水煮鱼里边要发好多的辣椒吗？	水煮鱼里边又发好多的辣椒吗	水煮鱼里边有发好多的辣椒吗	水煮鱼里边有话好说的辣椒吗	
Speaker0119_17.0	如何去附近的电影院？	什么要去附近的电影院。	如何去附近的电影院啊！	如何去附近的电影院	如何去附近的电影院	如何去附近的电影院	
Speaker0119_18.0	最近的麦当劳怎么走？	最近的麦当劳怎么走	最近的麦当劳怎么走？	最近的麦当劳怎么走	最近的麦当劳怎么走	最近的麦当劳怎么走	
Speaker0119_19.0	今天阴天会下雨吗？	七天一天会下雨吗？	今天一天会下雨吗？	今天一天会下雨吗	今天一天会下雨吗	今天一天会下雨吗	
Speaker0119_20.0	明天出去玩儿，天气如何？	明儿出去玩天气如何。	明天出去玩天气如何？	明天出去玩天气如何	逾期出去玩天气如何	明天出去玩天气如何	
Speaker0119_21.0	离我最近的商场在哪里？	离我最近的商场在哪里。	离我最近的商场在哪里？	离我最近的商场在哪里	离我最近的沙场在哪里	离我最近的商场在哪里	
Speaker0119_22.0	想买自行车去哪里买？	小美自行车去哪里买。	想买自行车去哪里买？	小美自行车去哪里买	想买自行车去哪里买	想买自行车去哪里买	
Speaker0119_23.0	最近老年人在玩什么游戏？	最近老年人在玩什么。	最近在玩什么游戏？	最近老年人在玩什么游戏	最近老年人在玩什么游戏	谢谢老友在玩什么游戏	
Speaker0119_24.0	现在孩子们都喜欢玩儿什么？	现在还怎么都喜欢玩什么。	现在孩子们都喜欢玩什么？	现在还什么都喜欢玩什么	现在孩子们都喜欢玩什么	现在孩子们都喜欢玩什么	
Speaker0119_25.0	今天的政治新闻是什么？	今天的政治新闻是什么。	今天的政治希望是什么？	今天的政治希望是什么	今天的政治新闻是什么	今天的政治新闻是什么	
Speaker0119_26.0	今天早上新闻播了什么？	今天早上新闻说了什么。	今天早上新闻播了什么？	今天早上新闻播了什么	讲解早上新闻播了什么	今天早上新闻播的什么	
Speaker0119_27.0	设明天早上六点钟的闹钟。	设明天早上六点钟的。	设明天早上六点钟的闹钟。	设明天早上六点钟的闹钟	设没天早上六点多的闹钟	设明天早上六点钟的闹钟	
Speaker0119_28.0	设今天晚上八点的闹钟。	今天晚上八点的闹钟。	设今天晚上八点的闹钟。	是啊今天晚上八点的闹钟	社区天晚上八点的闹钟	设今天晚上八点的闹钟	
Speaker0119_29.0	今天晚上八点提醒我去买菜。	今天晚上八点提醒我去买菜	今天晚上八点提醒我去买菜。	今天晚上八点提醒我去买菜	今天晚上八点提醒我去买呗	今天晚上八点提醒我去买菜	
Speaker0119_30.0	明天早上六点提醒我去散步。	明天早上六点提醒我去散步	明天早上六点提醒我去散步。	明天早上六点提醒我去散步	与天早上六点提醒我去散步	明天早上六点提醒我去率部	
Speaker0119_31.0	打开腾讯视频。	打开腾讯视频。	打开腾讯视频.	打开腾讯视频	打开腾讯视频	打开腾讯视频	
Speaker0119_32.0	打开三六零助手。	打开三六零助手	打开三六零助手.	打开三六零助手	打开三六零助手	打开三六零助手	
