Speaker0102_1.0	二加八等于几?	五加八等于几。	二加八等于几？	加八等于几	我家八等于几	二加八等于几	
Speaker0102_2.0	三成五等于几?	三乘五等于几	三成五等于几？	三成任务等级	三乘五等于几	乘五等于几	
Speaker0102_3.0	从北京到鞍山的飞机票多少钱?	鞍山的飞机票多少钱。	北京到鞍山的飞机票多少钱？	从北京到鞍山的飞机票多少钱	从北京到鞍山的飞机票多少钱	从北京到鞍山的飞机票多少钱	
Speaker0102_4.0	从鞍山去上海的飞机票多少钱?	从鞍山去上海的飞机票多少钱	鞍山去上海的飞机票多少钱？	从鞍山去上海的飞机票多少钱	从鞍山去上海的飞机票多少钱	从鞍山去上海的飞机票多少钱	
Speaker0102_5.0	从北京回鞍山的火车票多少钱?	从北京回鞍山的火车票多少钱。	北京回鞍山的火车票多少钱？	从北京回鞍山的火车票多少钱	从北京回鞍山的火车票多少钱现在在那个国家	从北京回鞍山的火车票多少钱	
Speaker0102_6.0	从鞍山去上海的火车票多少钱?	上海的动车多少钱	从鞍山去上海的动车多少钱？	晚上去上海的动车多少钱	从鞍山去上海的动车多少钱	去上海的动车多少钱	
Speaker0102_7.0	查询附近的成都美食。	查询附近的成都美食	查询附近的成都美食。	查询附近的成都美食	查询附近的成都美食	查询附近的成都美食	
Speaker0102_8.0	查询附近的西安小吃。	附近的西安小吃	查询附近的西安小吃。	查询附近的西安小吃	查询附近的西安小吃"	查询附近的西安小吃	
Speaker0102_9.0	查询去十里河的具体路线。	步行去十里河的具体路线	查询去十里河的具体路线。	查询区十里河的具体路线	查询去十里河的地铁路线	查询去十里河的具体路线	
Speaker0102_10.0	查询去大钟寺的具体路线。	谢谢大钟寺的具体路线	查询去大钟寺的具体路线。	查询去大钟寺的具体路线	查询去大钟寺的具体路线	查询去大钟寺的具体路线	
Speaker0102_11.0	查询最近跌的最严重的股票。	查询最近跌的最严重的股票。	查询最近跌的最严重的股票。	查询最近跌的最严重的股票	查询最近跌的最严重的一股票	查询最近听的最严重的股票	
