Speaker0009_1.0	呃十加六等于几？	呃十加六等于几。	徐加六等于几？	十加六等于几	哦徐加六等于几？	呃十加六等于几	
Speaker0009_2.0	六乘八等于几？	到乘八等于几。	六乘八等于几？	六城巴的一家	六乘八等几	六乘八等几	
Speaker0009_3.0	北京到云南明天上午九点有飞机票吗？	北京到云南明天上午九点有飞机票吗？	北京到云南明天上午九点有飞机票吗？	北京到云南明天上午九点有飞机票吗	北京到云南明天上午九点有飞机票吗	北京到云南明天上午九点有飞机票吗	
Speaker0009_4.0	呃最近一班从北京飞哈尔滨的机票多少钱？	最近一班从北京飞哈尔滨的机票多少钱。	最近一班从北京飞哈尔滨的机票多少钱？	呃最近一班从北京飞哈尔滨的机票多少钱	额最近一班从北京飞哈尔滨的机票多少钱	呃最近一班从北京飞哈尔滨的机票多少钱	
Speaker0009_5.0	明天从北京到青岛的火车票多少钱？	明天从北京到青岛的火车票多少钱。	明天从北京到青岛的火车票多少钱？	明天从北京到青岛的火车票多少钱	明天从北京到青岛的火车票多少钱	明天从北京到青岛的火车票多少钱	
Speaker0009_6.0	坐火车从北京到广州要多长时间？	坐火车从北京到广州要多长时间。	坐火车从北京到广州要多长时间？	坐火车从北京到广州要多长时间	坐火车从北京到广州要多长时间	坐火车从北京到广州要多长时间	
Speaker0009_7.0	附近最近的烤串店。	附近最近的烤串儿店。	附近最近的烤串店。	附近最近的烤串店	附近最近的烤串店	附近最近的烤串店	
Speaker0009_8.0	附近最近的农家菜。	附近最近的农家菜。	附近最近的农家菜。	附近最近的农家菜	附近最近的农家菜	附近最近的农家菜	
Speaker0009_9.0	附近最近的羽毛球馆。	附近最近的羽毛球馆。	附近最近的羽毛球馆。	附近最近的羽毛球馆	附近最近的羽毛球馆	附近最近的羽毛球馆	
Speaker0009_10.0	附近最近的网吧。	附近最近的网吧。	附近最近的网吧！	附近最近的网吧	附近最近的网吧	附近最近的网吧	
Speaker0009_11.0	中铁集团股票涨幅。	中铁集团股票涨幅。	中铁集团股票涨幅。	中铁集团股票涨幅	中铁集团股票涨幅	中铁集团股票涨幅	
