2017_05_16\00022\0306.wav	 复赛童童选什么节目好你帮我们选一个好吗 
2017_05_16\00002\0613.wav	非得把话说明了
2017_05_16\00013\0243.wav	中午咋不回去午休哇
2017_05_16\00008\0003.wav	郑州有好多所医院
2017_05_16\00019\0866.wav	哦谁敢信方大美女呀
2017_05_16\00016\0050.wav	 还在下雨吗 
2017_05_16\00013\0971.wav	 因为我不是 
2017_05_16\00006\0402.wav	 捕捉萤火虫 
2017_05_16\00022\0967.wav	 长春市贸易 
2017_05_16\00015\0789.wav	五月份的时候他会诶
2017_05_16\00010\0898.wav	 我在马路边儿你上对面来 
2017_05_16\00005\0713.wav	但是删的时候你过来了
2017_05_16\00032\0976.wav	 不要吵我在写作业 
2017_05_16\00010\0280.wav	今天这是我头一天稍微忙一点
2017_05_16\00005\0433.wav	 王班我将我的手机号码发给你好不好幺五零 
2017_05_16\00027\0726.wav	 老公又不在为什么会腰疼呢 
2017_05_16\00032\0537.wav	 如梦老师李家欣咋的啦 
2017_05_16\00007\0754.wav	真要换手机要换好多东西好麻烦
2017_05_16\00007\0204.wav	 因为对你们的价格我也 
2017_05_16\00007\0309.wav	七月份上二
2017_05_16\00009\0559.wav	 昨天收到礼物了没有 
2017_05_16\00011\0668.wav	 娜儿没告诉我你自个儿看着办吧 
2017_05_16\00023\0672.wav	 哎呀哎呀哎呀哎呀毛毛虫 
2017_05_16\00001\0687.wav	给田梦姐也订一套你最好给她试一下
2017_05_16\00008\0031.wav	所以才会出现这样的结果
2017_05_16\00030\0255.wav	 一看就有食欲呀 
2017_05_16\00023\0998.wav	不好意思不好意思刚刚来个电话
2017_05_16\00020\0201.wav	 老表你要是想套我 
2017_05_16\00014\0982.wav	还有衣架凉台挂衣服的
2017_05_16\00024\0954.wav	没有我朋友他一直在催一直在催所以我也就赶紧给你发了一条信息原本是不发的多他不催我我也不就不发
2017_05_16\00022\0965.wav	要想长肉首先得长心
2017_05_16\00006\0540.wav	 太重了你hold得住不 
2017_05_16\00025\0247.wav	不要心疼只要看好了就行
2017_05_16\00009\0458.wav	 你是二月十七号入住 
2017_05_16\00013\0781.wav	 我现在在安徽老家今天早晨起来第一个给你外甥女投票 
2017_05_16\00011\0182.wav	 好长时间没联系了叔你在哪儿上班儿呢 
2017_05_16\00008\0457.wav	 是啊你怎么知道 
2017_05_16\00022\0276.wav	 那个嫂子在咱们家那个照相那个也都按手印儿了吗 
2017_05_16\00015\0460.wav	赵志函在吗
2017_05_16\00027\0463.wav	天仙配天仙配
2017_05_16\00010\0093.wav	好漂亮啊
2017_05_16\00013\0099.wav	 小姨昨天做梦梦见你了 
2017_05_16\00024\0508.wav	你哪方面儿办傻事儿啦
2017_05_16\00015\0585.wav	 吃饭了没干什么就在家 
2017_05_16\00028\0244.wav	 你现在还在永丰吗 
2017_05_16\00011\0285.wav	尹强
2017_05_16\00020\0594.wav	 我一般发语音发了之后三秒钟之后就会撤回的 
2017_05_16\00017\0274.wav	我是乌尔旗汗的我家就在三十六号儿楼住
2017_05_16\00021\0878.wav	 你还在南站上班吗 
2017_05_16\00012\0809.wav	我给你价格和代理的价没有什么差别
2017_05_16\00013\0921.wav	行发给他了
2017_05_16\00017\0796.wav	一日夫妻百日恩呐
2017_05_16\00014\0344.wav	最小号儿的黑底儿白条儿的
2017_05_16\00003\0985.wav	什么条件呐
2017_05_16\00018\0079.wav	五月十一号广州六喜源的送货单没有返回来还有五月十三号给东莞迈丹尼的送货单还有给广州豪程的送货单没有返回来
2017_05_16\00015\0151.wav	 世上没有后悔药 
2017_05_16\00018\0073.wav	是汪家大院不是大王家院哎哟哎哟
2017_05_16\00021\0340.wav	或者去洗澡之类的
2017_05_16\00003\0716.wav	 姐姐你在干什么 
2017_05_16\00017\0518.wav	 李勇发的视频 
2017_05_16\00019\0502.wav	 老婆今天中午吃什么菜呀 
2017_05_16\00013\0834.wav	 他说到了是看看试试 
2017_05_16\00020\0238.wav	你们搞错啦爱的谎言和那个火火是一伙儿的
2017_05_16\00025\0830.wav	刚才你跟我视频的时候正好在哄宝宝睡觉
2017_05_16\00022\0161.wav	那么两层那里
2017_05_16\00028\0096.wav	给你发红包咋没收哇
2017_05_16\00017\0960.wav	这个你说的那个什么那个女字旁再加一个宝盖
2017_05_16\00019\0809.wav	孩子感冒了就给孩子吃点药
