	Questions	Cortana	灵犀语音助手	GOOGLE	百度语音助手	Siri			
1.0	二的平方是多少？	二的平方是多少。	二的平方是多少？	R的平方是多少	二的平方是多少	二的平方是多少		DEFG	
2.0	一加一等于几？	一加一等于几。	一加一等于几？	一家一等于几	一加一等于几	一加一等于几		DEFG	
3.0	明天北京到上海的飞机票多少钱？	明天北京到上海的飞机票多少钱	明天北京到上海的飞机票多少钱？	明天北京到上海的飞机票多少钱	明天北京到上海的飞机票多少钱	明天北京到上海的飞机票多少钱		EFG	
4.0	北京到上海的飞机票最低价是多少？	北京到上海的飞机票最低价是多少。	北京到上海的机票最低价是多少？	北京到上海的飞机票最低价是多少	北京到上海的飞机票最低价是多少	北京到上海的飞机票最低价是多少		DEFG	
5.0	今天北京到济南的动车票还有吗？	今天北京到济南的动车票还有吗？	今天北京到济南的动车票还有吗？	今天北京到济南的动车票还有吗	今天北京到济南的动车票还有吗	今天北京到济南的动车票还有吗		EFG	
6.0	北京到上海的火车票多少钱？	北京到上海的火车票多少钱。	北京到上海的火车票多少钱？	北京到上海的火车票多少钱	北京到上海的火车票多少钱	北京到上海的火车票多少钱		EFG	
7.0	这附近有没有什么好吃的烤肉？	这附近有没有什么好吃的烤肉？	这附近有没有什么好吃的烤肉？	这附近有没有什么好吃的烤肉	这附近有么有什么好吃的烤肉	这附近有么有什么好吃的烤肉		EFG	
8.0	这附近距离我最近的奶茶店在哪里?	这附近距离我最近的奶茶店在哪里。	可附近距离我最近的奶茶店在哪里?	这附近距离我最近的奶茶店在哪里	这附近距离我最近的奶茶店在哪里	这附近距离我最近的奶茶店在哪里		DEFG	
9.0	这附近有轰趴馆吗?	这附近有轰趴馆吗?	这附近有红茶馆吗？	这附近有轰趴馆吗	这附近有轰趴馆吗	这附近有红花管吗		DEFG	
10.0	这附近有徐氏台球吗?	这附近有石室台球吗	这附近有叙事台球吗？	这附近有序是台球吗	这附近有许氏台球吗	这附近有徐氏台球吗		DEFG	
11.0	腾讯股票最近的涨势怎么样?	腾讯股票最近的长是怎么样。	腾讯股票最近的涨势怎么样?	腾讯股票最近的长是什么样	腾讯股票最新的掌是怎么样	腾讯股票最近的涨势怎么样		EFG	
12.0	今天暴跌的股票是什么?	今天暴跌的股票是什么。	今天暴跌的股票是什么?	今天暴跌的股票是什么	今天暴跌的股票是什么	今天暴跌的股票是什么		EFG	
13.0	亚瑟士的虎走五怎么样?	亚瑟士的湖周五怎么样。	亚瑟士的湖州五怎么样?	亚瑟士的和周五怎么样	亚瑟士的和周五怎么样	亚瑟士的湖州五怎么样		DEFG	
15.0	宫保鸡丁怎么做?	宫保鸡丁怎么做。	宫爆鸡丁怎么做？	宫爆鸡丁怎么做	宫爆鸡丁怎么做	宫保鸡丁怎么做		DEFG	
16.0	秋葵应该怎么吃?	秋葵应该怎么吃。	秋葵应该怎么吃?	秋葵应该怎么吃	秋葵怎么吃	秋葵应该怎么吃		EFG	
17.0	五道口到奥体中心怎么走?	五道口到奥体中心怎么走。	五道口到奥体中心怎么走?	五道口到奥体中心怎么走	五道口到奥体中心怎么走	我刀口导体中心怎么走		EFG	
18.0	五道口到人民大学怎么去?	五道口到人民大学怎么去。	五道口到人民大学怎么去?	五道口到人民大学怎么去	五道口到人民大学怎么去	我到口到人民大学怎么去		EFG	
19.0	明天会下雨么?	明天会下雨吗?	明天会下雨吗?	明天会下雨吗	明天会下雨吗	明天会下雨吗		DEFG	
20.0	今天的空气怎么样?	今天的空气怎么样。	今天的空气怎么样?	今天的空气怎么样	今天的空气怎么样	今天的空气怎么样		EFG	
21.0	耐克的帽子多少钱?	耐克的帽子多少钱。	耐克的帽子多少钱?	耐克的帽子多少钱	耐克的帽子多少钱	耐克的帽子多少钱		EFG	
22.0	六一八购物节买什么好啊?	六八购物节买什么好啊。	六一八购物节买什么好啊！	六一八购物节买什么好啊	聊吧勾结买什么好啊	六八勾结买什么好啊		DEFG	
23.0	阴阳师怎么玩呀?	益阳市怎么办呀。	阴阳师怎么玩儿啊！	阴阳师怎么玩呀	央视怎么玩啊	阴阳师怎么玩啊		DEFG	
24.0	王者荣耀里面最厉害的英雄是什么呀?	王者荣耀里面最厉害的英雄是什么呀。	王者荣耀里面最厉害的英雄是什么呀！	王者荣耀里面最厉害的英雄是什么呀	王者荣耀里面最厉害的英雄什么呀	王者荣耀里面最厉害的英雄是什么呀		DEFG	
25.0	昨天的新闻头条是什么?	昨天的新闻头条是什么。	昨天的新闻头条是什么?	昨天的新闻头条是什么	昨天的新闻头条是什么	昨天的新闻头条是什么		EFG	
26.0	伦敦大火的伤亡情况。	伦敦大火的伤亡情况。	伦敦大火的爽。	伦敦大火的伤亡情况	伦敦大火的伤亡情况	伦敦大火的双情况		DEFG	
27.0	明天早晨六点的闹钟。	明天早晨六点的闹钟。	明天早晨六点的闹钟。	明天早晨六点的闹钟	明天早晨六点的闹钟	明天早晨六点的闹钟		DEFG	
28.0	帮我设置十分钟后的闹钟。	帮我设置十分钟后的闹钟。	设置十分钟后的闹钟。	帮我设置十分钟后的闹钟	帮我设置十分钟后的闹钟	帮我设置十分钟后的闹钟		DEFG	
