Speaker0118_1.0	三加三再乘二等于几呀？	三加三再乘二等于几啊。	三加三再乘二等于几啊	商家山寨城二等于几啊	张家山再乘二等于几啊	三加三再乘二等于几啊！	
Speaker0118_2.0	五加四等于几？	五加四等于几。	五家是等于几	五加四等于几	五加四等于几	五加四等于几？	
Speaker0118_3.0	请问北京到杭州的机票多少钱？	请问北京到杭州的机票多少钱？	请问北京到杭州的机票多少钱	请问北京到杭州的机票多少钱	请问北京到杭州的机票多少钱	请问北京到杭州的机票多少钱？	
Speaker0118_4.0	请问北京到杭州的机票现在还有吗？	请问北京到杭州的机票现在还有吗？	请问北京到杭州的机票现在还有吗	请问北京到杭州的机票现在还有吗	请问北京到杭州的机票现在还有吗	请问北京到杭州的机票现在还有吗？	
Speaker0118_5.0	请问北京到义乌的火车票是多少钱？	请问北京到义乌的火车票是多少钱？	请问北京到义乌的火车票是多少钱	请问北京到义乌的火车票是多少钱	请问北京到义乌的火车票是多少钱	请问北京到义乌的火车票是多少钱？	
Speaker0118_6.0	请问北京到义乌火车票是多少钱？	请问北京到义乌火车票是多少钱？	请问北京到义乌火车票是多少钱	请问北京到义乌火车票是多少钱	请问北京到义乌火车票是多少钱	请问北京到义乌火车票是多少钱？	
Speaker0118_7.0	请问北京的烤鸭哪一家最好吃？	请问北京的烤鸭哪一家最好吃？	请问北京的烤鸭哪一家最好吃	请问北京的烤鸭哪一家最好吃	请问北京的烤鸭哪一家最好吃	请问北京的烤鸭哪一家最好吃。	
Speaker0118_8.0	请问北京的稻香村食品在哪里买？	请问北京的稻香村食品在哪里买？	请问北京的稻香村食品在哪里买	请问北京的稻香村食品在哪里买	北京的稻香村食品在哪里买	请问北京的稻香村食品在哪里买？	
Speaker0118_9.0	我想上王府井应该怎么走？	我想上网肤浅应该怎么走。	我想上网付钱应该怎么走	我想上王府井应该怎么走	我想上网复检应该怎么走	我想上网附近应该怎么走啊！	
Speaker0118_10.0	我想上西单，应该坐哪一趟车？	我想上西单应该坐哪一趟车。	我想上西单应该坐哪一趟车	我想上西单应该坐哪一趟车	我想发给单莹的	我想上西单应该坐哪一趟车？	
Speaker0118_11.0	我想咨询一下，近期的股票，趋势怎么样？	我想咨询一下近期的股票趋势怎么样。	我想咨询一下近期的股票趋势怎么样	我想咨询一下近期的股票趋势怎么样	我想咨询一下近期的股票趋势怎么样	我想咨询一下近期的股票趋势怎么样？	
