Speaker0116_1.0	三乘三等于几呀？	三乘三等于几呀。	三等于几？	三十三等于几呀	孙中山的一比啊	三乘三等于几	
Speaker0116_2.0	四乘五等于几？	四乘五等于几。	四乘五等于几？	四十五等于几	四十五的一点	四十五的一点	
Speaker0116_3.0	我今天能买到去成都的飞机票吗？	我今天能买到去成都的飞机票吗？	我今天能买到去成都的飞机票吗？	我今天能买到去成都的飞机票吗	我今天能买到的常州的飞机票吗	我今天能买到去成都的飞机票吗	
Speaker0116_4.0	我今天能买到去长沙的飞机票吗？	买到去长沙的飞机票吗？	要去长沙的飞机票吗？	我今天能买到去长沙的飞机票吗	我今天能买到的长沙的飞机票吗	我今天能买到去长沙的飞机票吗	
Speaker0116_5.0	我今天能买去北京的火车票吗？	我今天能买去北京的火车票吗？	我今天能买去北京的火车票吗？	我今天能买去北京的火车票吗	我今天能买去北京的火车票吗	我今天能买去北京的火车票吗	
Speaker0116_6.0	今天到长沙的火车票多少钱？	今天到长沙的火车票多少钱。	你今天到长沙的火车票多少钱？	今天到长沙的火车票多少钱	今天到长沙的火车票多少钱	今天到长沙的火车票多少钱	
Speaker0116_7.0	这附近有九宫的吗？	这附近有九宫格吗?	这附近有九宫格吗?	这附近有九宫格吗	这附近有酒红的吗	这附近有九宫格吗	
Speaker0116_8.0	这附近有牛肉面吗？	这附近有牛肉面吗？	这附近有牛肉面吗？	这附近有牛肉面吗	这附近有牛肉面吗	这附近有牛肉面吗	
Speaker0116_9.0	这附近有能散步的公园吗？	这附近有能散步的公园吗？	这附近有能散步的公园吗？	这附近有能散步的公园吗	这附近有能散步的公园吗	这附近有没有散步的公园吗	
Speaker0116_10.0	这附近有图书馆吗？	这附近有图书馆吗？	这附近有图书馆吗？	这附近有图书馆吗	这附近有图书馆吗	这附近有图书馆吗	
Speaker0116_11.0	今天的股票行情好不好？	今天的股票行情好不好？	今天的股票行情好不好？	今天的股票行情好不好	今天的股票行情好不好	今天的股票行情好不好	
Speaker0116_12.0	今天适合买进股票吗？	今天适合买股票吗	今天适合买进股票吗？	今天适合买的股票吗	今天适合买的股票吗	今天适合买进股票吗	
Speaker0116_13.0	家具哪个品牌好呢？	家具哪个品牌好呢？	家具哪个品牌好呢！	家具哪个品牌好呢	家具哪个品牌好呢	家具哪个品牌好呢	
Speaker0116_14.0	哪个牌子的床垫好呢？	哪个牌子的床垫好呢	哪个牌子的床垫好呢！	哪个牌子的床垫好呢	哪个牌子的床垫好难	哪个牌子的床垫好了	
Speaker0116_15.0	我想学做夫妻肺片，怎么做？	我想学个夫妻肺片怎么做。	我想学做夫妻肺片怎么做？	我想学做夫妻肺片怎么做	我想学做夫妻肺片怎么做	我想学做附近非片怎么做	
Speaker0116_16.0	学做四川菜难学吗？	学做四川菜男鞋吗？	学做四川菜男爵吗？	学做四川菜难学吗	别做四川菜难学吗	谁说四川菜难学吗	
Speaker0116_17.0	这里到五棵松怎么坐车？	这里到五棵松怎么坐车	这里到五棵松怎么坐车。	这里到五棵松怎么坐车	这里到五棵松怎么坐车	这里到五科松怎么做车	
Speaker0116_18.0	到香山有公交车吗？	到香山有公交车吗	到象山有公交车吗？	稻香村有公交车吗	到香山有公交车吗	到萧山有公交车吗	
Speaker0116_19.0	明天出去玩儿，会下雨吗？	明天出去玩会下雨吗	明天出去玩儿会下雨吗？	明天出去玩会下雨吗	明天出去玩会下雨吗	明天出去玩会下雨吗	
Speaker0116_20.0	明天天气有雾霾吗？	明天天气有雾霾吗	明天天气有雾霾吗？	明天天气有雾霾吗	明天天气有雾霾吗	明天天气有雾霾吗	
Speaker0116_21.0	我想买件衣服现在打折吗？	我想买件衣服现在打折吗	我想买件衣服现在打折吗？	我想买件衣服现在打折吗	我想买件衣服现在打折吗	我想买件衣服现在打折吗	
Speaker0116_22.0	什么牌子的女装质量好？	什么牌子的女装质量啊。	什么牌子的女装质量好。	什么牌子的女装质量好	什么牌子的女装质量好	什么牌子的女装质量	
Speaker0116_23.0	泡泡堂怎么玩？	泡泡堂怎么玩。	泡泡堂怎么玩儿？	泡泡堂怎么玩	泡泡堂怎么玩	泡泡堂怎么玩	
