Speaker0112_1.0	五加六等于多少？您告诉我好吗？	六加等于多少能告诉我好吗？	五加六等于多少您告诉我好吗？	国家电网等于多少能告诉我好吗？	吴加六等于多少名方锁好吗	五加六等于多少你告诉我好吗	
Speaker0112_2.0	七加八等于多少？您告诉我。	七加八等于多少你告诉我。	七加八等于多少您告诉我。	新加坡等于多少你告诉我。	添加八等于多少你告诉我	七加八等于多少你告诉我	
Speaker0112_3.0	我想去上海的飞机票有几点的？	我想去上的飞机票有几点的。	我想去上嗨的飞机票有几点的？	我想去上的飞机票有几点的	我想去上的飞机票有几点的	我想去上海的飞机票有几点的	
Speaker0112_4.0	我想去天津，现在还有几点的？	我想去天津在哪还有几点的。	我想去天津，现在还有几点呢！	我想去天津现在还有几点的	我想去天津现在还有几点的	我想去天津现在还有几点的	
Speaker0112_5.0	我想去张家口现在还有什么时间的？	我想去张家口在哪还有什么时间的	我想去张家口在哪还有什么时间呢！	我想去张家口在哪还有什么时间的	我想去张家口在哪还有什么时间呢	我想去张家口在哪还有什么时间呢	
Speaker0112_6.0	我想去石家庄，现在还有什么时间的？	我想去石家庄现在还有什么时间的。	我想去石家庄在哪有什么时间的？	我想去石家庄现在还有什么时间的	我想去石家庄现在还有什么时间的	我想去石家庄现在还有什么时间呢	
Speaker0112_7.0	附近有火锅吗？	附近有火锅吗？	附近有火锅吗？	附近有火锅吗	附近有火锅吗	附近有火锅吗	
Speaker0112_8.0	附近哪里有烤鸭店？	哪里有烤鸭店	附近哪里有烤鸭店？	哪里有烤鸭店	附近哪里有烤鸭店	附近哪里有烤鸭店	
Speaker0112_9.0	我想到西二旗。	我想找到西二旗。	我想到下集。	我想找到西二旗	我想找到第二题	我想找到西二旗	
Speaker0112_10.0	我想去西三旗，怎么走？	我想去西三旗怎么走	我想去西三旗怎么走？	我想去西三旗怎么走	我想去西三旗怎么走	我想去西三旗怎么走	
Speaker0112_11.0	我想问一下招商轮船最近能涨吗？	我想问一下招商轮船最近能涨吗？	我想问一下张山龙门玩最近能涨吗？	我想问一下招商轮船最近能长吗	我想问一下东山龙门玩最近还能涨吗	我想问一下东山弄论文最近能感冒	
Speaker0112_12.0	我想问一下，晋车车轴现在的走势怎么样？	我想问一下晋西车轴现在走势怎么样。	我想问一下晋西车轴，现在走势怎么样？	我想问一下静音车轴现在走势怎么样	我想问一下进一车轴现在走势怎么样	我想问一下姐姐车头现在走势怎么样	
Speaker0112_13.0	请问现在什么样的女装最好？	请问现在什么样的女装最好？	请问现在什么样的女装最好？	请问现在什么样的女装最好	请问现在什么样的女装最好	请问现在什么样的女装最好	
Speaker0112_14.0	请问老年的这花镜什么样的最好？	请问老年的对花镜什么样的最好？	请问老年的对花镜什么样的最好？	请问老年的被花镜什么样的最好	请问老年的桂花阱什么样的最好	请问老年的对话电影什么样的最好	
Speaker0112_15.0	我想做鱼香肉丝，怎么做？	我想做鱼香肉丝怎么做。	我想做鱼香肉丝，怎么做？	我想做鱼香肉丝怎么做	我想做你香肉丝怎么做	我想做鱼香肉丝怎么做	
Speaker0112_16.0	我想做咕咾肉怎么做？	我想座古老肉怎么做。	我想做不老肉怎么做？	我想做古老肉怎么做	我想做和老肉怎么做	我想做咕咾肉怎么做	
Speaker0112_17.0	我想去广安门北怎么坐公交车？	我想去广安门北怎么坐公交车	我想去广安门北怎么坐公交车。	我想去广安门被这么坐公交车	我想去广安门被这么坐公交车	我想去广安门北怎么坐公交车	
Speaker0112_18.0	我想去望京医院怎么坐车？	我想去望京医院怎么坐车。	我想去望京医院怎么坐车。	我想去望京医院怎么坐车	我想去望京医院怎么坐车	我想去望京医院怎么做车	
Speaker0112_19.0	请问今天多少度？	请问今天多少度？	请问今天多少度？	请问今天多少度	请问今天多少度	请问今天多少度	
Speaker0112_20.0	请问今天有雾霾吗？	请问今天有雾霾吗？	请问今天有雾霾吗？	请问今天有雾霾吗	请问今天有雾霾吗	请问今天有雾霾吗	
Speaker0112_21.0	我想买一件连衣裙，到哪去买？	我想买一件连衣裙到哪儿去买。	我想买一件连衣裙到哪去买？	我想买一件连衣裙到哪去买	我想买一件连衣裙到哪去买	我想买一件连衣裙到哪去买	
Speaker0112_22.0	我还想买一条裤子，买什么品牌的好？	我还想买一条裤子买什么。	我还想买一条裤子买什么品牌的好。	我还想买一条裤子买什么品牌的好	我还想买一条裤子买什么品牌的好	我还想买一条裤子买什么品牌的好	
Speaker0112_23.0	斗地主四个人可以玩吗？	斗地主四个人可以玩吗？	斗地主四个人可以玩吗？	斗地主四个人可以玩吗	斗地主四个人可以玩吗	斗地主四个人可以玩吗	
Speaker0112_24.0	我想玩捉黑叉，三个人可以吗？	我想玩桌黑他三个人可以吗？	我想玩捉黑叉三个人可以吗？	我想玩捉黑叉三个人可以吗	我想玩捉黑叉三个人可以吗	我想玩这可以差三个人可以吗	
Speaker0112_25.0	北京新闻每天都几点播？	北京新闻每天都几点播。	北京新闻每天都几点播。	北京新闻每天都几点播	北京新闻每天都几点播	北京新闻每天都几点播	
Speaker0112_26.0	国际新闻每天几点播？	国际新闻每天几点播。	国际新闻每天几点播。	国际新闻每天几点播	国际新闻每天几点播	国际新闻哪天几点播	
Speaker0112_27.0	我想设明天早上起来五点起床。	我想设天早上起来五点起床。	我想设明天早上起来五点起床。	我想说明天早上起来五点起床	我想射明天早上起来五点起床	我想设明天早上起来五点起床	
Speaker0112_28.0	我想设置明天早上起来六点起床。	我想设置明天早上起来六点起床	我想设置明天早上起来六点起床。	我想设置明天早上起来六点起床	我想设置明天早上起来六点起床	我想设置明天早上起来六点起床	
Speaker0112_29.0	明天早上提醒我去买菜。	明天早上提醒我去买菜。	明天早上提醒我去买菜。	明天早上提醒我去买菜	明天早上提醒我去买菜	明天早上提醒我去买菜	
Speaker0112_30.0	明天上午九点提醒我去开会。	明天上午提醒我九点去开会	明天上午九点提醒我去开会。	明天上午九点提醒我去开会	明天上午九点提醒我去开会	明天上午九点提醒我去开会	
Speaker0112_31.0	我想支付，请帮我打开支付宝。	我想支付请帮我打开支付宝。	我想支付请帮我打开支付宝。	我想支付请帮我打开支付宝	我想支付请帮我打开支付宝	我想支付请帮我打开支付宝	
Speaker0112_32.0	我想定外卖，请帮我打开美团。	我想订外卖请帮我打开美团。	我想订外卖，请帮我打开美团。	我想订外卖请帮我打开美团	我想订外卖请帮我打开美团	我想订外卖请帮我打开美团	
Speaker0112_33.0	请给赵薇发短信，今天晚上一起吃饭	请给张伟发短信今天晚上一起吃饭	请给单位发短信，今天晚上一起吃饭？	请给赵薇发短信今天晚上一起吃饭	请给到位发短信今天晚上一起吃饭	请给赵薇发短信今天晚上一起吃饭	
Speaker0112_34.0	请给宋丹丹发短信，明天一起出去玩。	请给宋丹丹发短信明天一起出去玩	请给宋丹丹发短信明天一起出去玩儿。	请给宋丹丹发短信明天一起出去玩	请给宋丹丹发短信	请给宋丹丹发短信明天一起出去玩	
Speaker0112_35.0	我想看特工五号第二集。	我想看特工五号第二集	我想看特工五号第二集。	我想看特工五号第二集	我想看特工五号第二集	我想看特工五号第二集	
Speaker0112_36.0	我想看这周的星光大道。	我想看这周的星光大道	我想看这周的星光大道。	我想看这周的星光大道	我想看得州的星光大道	我想看帝都的星光大道	
Speaker0112_37.0	我想听郭兰英的我的祖国。	我想听郭兰英厂的我的祖国	我想听过那英的我的祖国。	我想听郭兰英的我的祖国	我想听郭兰英的我的祖国	我想听郭兰英的我的祖国	
Speaker0112_38.0	我想听那英的黄土高坡。	我想听那英的黄土高坡	我想听那英的黄土高坡。	我想听那英的黄土高坡	我想听那英的黄土高坡	我想听那英的黄土高坡	
Speaker0112_39.0	关闭蓝牙。	关闭蓝牙	关闭蓝牙。	关闭蓝牙	关闭蓝牙	关闭蓝牙	
Speaker0112_40.0	把手机的音量调低。	把手机的音量调低	把手机的音量调低。	把手机的音量调低	把手机的音量调的	把手机的音量调低	
Speaker0112_41.0	帮我给王刚转账，一百元。	帮我给王刚转账一百元。	帮我给王刚转账一百元。	帮我给王刚转账一百元	帮我给王刚传赵一白园	帮我给王刚转账一百元	
Speaker0112_42.0	帮我给芳姐转账二百	帮我给方杰短暂二百	帮我给芳姐转账二百。	帮我给放结转账二百	帮我给方杰传的	帮我给方解转账二百	
Speaker0112_43.0	帮我查一下还有多少电。	帮我查一下还有多少电	帮我查一下还有多少电？	帮我查一下还有多少电	帮我查一下还有多少电	帮我查一下还有多少电	
Speaker0112_44.0	帮我查一下还有多少话费。	帮我查一下还有多少话。	帮我查一下二还有多少话费。	帮我查一下还有多少话费	帮我查一下还有多少话费	帮我查一下还有多少话费	
Speaker0112_45.0	我喜欢跳交谊舞，你喜欢吗？	我喜欢调教有你喜欢吗？	我喜欢跳交谊舞，你喜欢吗？	我喜欢调教有我你喜欢吗	我喜欢跳交谊舞你喜欢嘛	我喜欢跳交谊舞你喜欢吗	
Speaker0112_46.0	我喜欢听音乐，你喜欢吗？	我喜欢听音乐你喜欢。	我喜欢听音乐，你喜欢？	我喜欢听音乐你喜欢吗	我喜欢听音乐你喜欢嘛	我喜欢听音乐你喜欢吗	
Speaker0112_47.0	我今天等了好久，好不开心。	我今天等了好久好不开心。	我今天等了好久好不开心。	我今天等了好久好不开心	我今天等了好久好不开心	我今天等了好久好不开心	
Speaker0112_48.0	我今天听了一首歌儿，特别好听。	我今天听了一首歌儿特别好听	我今天听了一首歌，特别好听。	我今天听了一首歌特别好听	我今天听了一首歌特别好听	我今天听了一首歌特别好听	
Speaker0112_49.0	我今天的心情很不好，你给我讲一笑话吧。	我今天的心情很不好你给我讲一笑话吧。	我今天的心情很不好，你给我讲一笑话吧！	我今天的心情很不好你给我讲一下会吧	我今天的心情很不好你给我讲一笑话把	我今天的心情很不好你给我讲一笑话吧	
Speaker0112_50.0	我今天想吃鱼，我不知道怎么做，你给我讲讲吧。	我今天想吃鱼我不知道怎么做你给我讲讲吧。	我今天想吃鱼，我不知道怎么做。	我今天想吃鱼我不知道怎么做	我今天想吃鱼我不知道怎么做你不讲讲吧	我今天想吃与我不知道怎么做你给我讲奖吧	
