Speaker0023_1.0	一加二十乘以八等于几？	一加二加三乘以八等于几。	你叫叫声等于八等于几？	JS加上三十八等于几	一三三八的	从八等于几	
Speaker0023_2.0	三乘八加五等于几？	三乘八加五等于几。	三三八五等于几？	三十五加五亿等于几	防盛大票务代理	三乘八加五等于几	
Speaker0023_3.0	北京到上海多少钱？	北京到上海多少钱。	北京到上海多少钱？	北京到上海多少钱	北京到上海多少钱	北京到上海多少钱	
Speaker0023_4.0	北京到深圳，机票多少钱？	北京到深圳机票多少钱。	北京到深圳机票多少钱？	北京到深圳机票多少钱	北京到深圳机票多少钱	北京到深圳机票多少钱	
Speaker0023_5.0	北京到广州火车票多少钱？	北京到广州火车票多少钱。	北京到广州火车票多少钱？	北京到广州火车票多少钱	北京到广州火车票多少钱	北京到广州火车票多少钱	
Speaker0023_6.0	北京到深圳火车票多少钱？	北京到上海火车票多少钱。	北京到深圳火车票多少钱？	北京到深圳火车票多少钱	北京到深圳火车票多少钱	北京到沈阳火车票多少钱	
Speaker0023_7.0	附近有粤菜吗？	附近有没有在吗？	附近有预算吗？	附近有粤菜吗	附近有粤菜吗	附近有在约吗	
Speaker0023_8.0	附近哪个酒店菜比较好吃。	附近哪个酒店菜比较好吃	附近哪个酒店比较好吃。	附近哪个酒店菜比较好吃	附近哪个酒店菜比较好吃	附近哪个酒店菜比较好吃	
Speaker0023_9.0	附近有旅游景点吗？	附近有旅游景点吗	附近有旅游景点吗？	附近有旅游景点吗	附近有旅游景点吗	附近有旅游景点吗	
Speaker0023_10.0	附近有游乐园吗？	附近有游乐园吗？	附近有游乐园吗？	附近有游乐园吗	附近有游乐园吗	附近有游乐园吗	
Speaker0023_11.0	哪只股票比较挣钱？	每只股票比较挣钱。	买支股票比较挣钱。	每只股票挣钱	哪个股票挣钱	哪个股票比较挣钱	
Speaker0023_13.0	衣服买哪个牌子比较好？	你不买哪个牌子比较好。	比如买哪个牌子比较好？	日本买哪个牌子比较好	你不买哪个牌子比较	蜂蜜买哪个牌子比较好	
Speaker0023_15.0	炖排骨汤，需要多长时间？	炖排骨汤需要多长时间。	炖排骨汤需要多长时间？	炖排骨汤需要多长时间	炖排骨汤需要多长时间	炖排骨汤需要多长时间	
Speaker0023_16.0	炒番茄鸡蛋用多大火？	草房测试通用不在乎。	找风水师都用不到。	炒饭才知道用多少	早放在身上用不到	草房子鸡蛋用葡萄	
Speaker0023_17.0	附近有溜冰场吗？	附近有溜冰场吗？	附近有溜冰场吗？	附近有溜冰场吗	附近有溜冰场吗	附近有溜冰场吗	
Speaker0023_18.0	附近有游泳馆吗？	附近有游泳馆吗？	附近有游泳馆吗？	附近有游泳馆吗	附近有游泳馆吗	附近游泳馆	
Speaker0023_19.0	北京今天下雨吗？	北京今天下雨吗？	北京今天下雨吗？	北京今天下雨吗	北京今天下雨吗	北京今天下雨吗	
Speaker0023_20.0	北京今天空气怎么样？	北京今天空气怎么样	北京今天空气怎么样？	北京今天空气怎么样	北京今天空气怎么样	北京今天空气怎么样	
Speaker0023_21.0	今天买什么菜比较好？	今天买什么车比较好。	今天买什么菜比较好？	今天买什么菜比较好	今天买什么车比较好	今天买什么菜比较好	
