Speaker0089_1.0	七乘九除三得多少？	七乘九除三的多少。	七乘九除三等于多少？	骑乘九三得多少	一乘以九除三得多少	七乘九除三的多少	
Speaker0089_2.0	圆周率怎么计算？	圆周率怎么计算。	圆周率怎么计算？	圆周率怎么计算	圆周率怎么计算	圆周率怎么计算	
Speaker0089_3.0	明天北京到美国的机票最早是几点？	明天北京到美国的机票最早是几点。	明天北京到美国的机票最早是几点？	明天北京到美国的机票最早是几点	明天北京到美国的机票最早是几点	明天北京到美国的机票最早是几点	
Speaker0089_4.0	北京到上海的飞机票是多少钱？	北京到上海的飞机票是多少钱。	北京到上海的飞机票是多少钱？	北京到上海的飞机票是多少钱	北京到上海的飞机票是多少钱	北京到上海的飞机票是多少钱	
Speaker0089_5.0	北京到天津的火车票要多少钱？	北京到天津的火车票需要多少钱。	北京到天津的火车票要多少钱？	北京到天津的火车票要多少钱	北京到天津的火车票要多少钱	北京到天津的火车票要多少钱	
Speaker0089_6.0	明天北京到上海的火车还有票吗？	明天北京到上海的火车还有票吗？	明天北京到上海的火车还有票吗？	明天北京到上海的火车还有票吗	明天北京到上海的火车还有票吗	明天北京到上海的火车还有票吗	
Speaker0089_7.0	离五道口最近的烤肉在哪儿？	离五道口最近的烤肉在哪。	离五道口最近的烤肉在哪？	离武大号最近的烤肉在哪	离五道口最近的烤肉在哪	离五道口最近的烤肉在哪	
Speaker0089_8.0	离五道口最近的拉面馆儿在哪？	离五道口最近的拉面馆在哪。	离五道口最近的拉面馆在哪？	离五道口最近的拉面馆在哪	离五道口最近的拉面馆an	离五道口最近的拉面馆在哪	
Speaker0089_9.0	帮我找一下离我最近的公园儿。	帮我找一下离我最近的。	帮我找一下离我最近的公园。	帮我找一下离我最近的公园	帮我找下离我最近的公园	帮我找一下离我最近的公园	
Speaker0089_10.0	附近有羽毛球馆吗？	附近有羽毛球馆。	附近有羽毛球馆？	附近有羽毛球馆	附近有羽毛球馆	附近有羽毛球馆	
Speaker0089_11.0	今年的大盘指数是多少？	今年大盘指数是多少。	今年的大盘指数是多少？	今年的大盘指数是多少	今年大盘指数是多少	今年的大盘指数是多少	
Speaker0089_12.0	最近哪支股票被看好？	最近哪支股票被看好。	最近哪只股票被看好。	最近哪个股票给看好	最近哪只股票被看好	最近哪支股票被看好	
Speaker0089_13.0	运动背包什么品牌最好？	运动背包什么品牌最好。	运动背包什么品牌最好。	运动背包什么品牌最好	运动背包什么品牌最好	运动背包什么品牌最好	
Speaker0089_14.0	耐克的鞋好还是阿迪达斯的鞋好？	耐克的小孩是阿迪达斯的鞋好。	耐克的小孩是阿迪达斯的脚。	耐克的小孩是阿迪达斯的鞋好	nike的小孩是阿迪达斯的小	耐克的鞋好还是阿迪达斯的小	
Speaker0089_15.0	蚂蚁上树怎么做？	蚂蚁上树怎么做。	蚂蚁上树怎么做。	蚂蚁上树怎么做	蚂蚁上树怎么做	蚂蚁上树怎么做	
Speaker0089_16.0	蚂蚁上树需要什么食材？	蚂蚁上户需要什么食材。	蚂蚁上树需要什么食材。	蚂蚁上树需要什么食材	蚂蚁上树需要什么食材	蚂蚁上树需要什么食材	
Speaker0089_17.0	天坛位于北京的什么方位？	天坛位于北京的什么方位。	天坛位于北京的什么方位。	天坛位于北京的什么方位	天坛位于北京的什么方位	天坛位于北京的什么方位	
Speaker0089_18.0	天安门在北京的什么方位？	天安门在北京的什么方位。	天安门在北京的什么方位。	天安门在北京的什么方法	天安门在北京的什么方位	天安门在北京的什么方位	
Speaker0089_19.0	今天晚上出去打球，会下雨吗？	今天晚上出去打球会下雨吗？	今天晚上出去打球会下雨吗？	今天晚上出去打球会下雨吗	今天晚上出去打球会下雨吗	今天晚上出去打球会下雨吗	
Speaker0089_20.0	明天的空气质量怎么样？	明天的空气质量怎么样。	明天的空气质量怎么样？	明天的空气质量怎么样	明天的空气质量怎么样	明天的空气质量怎么样	
Speaker0089_21.0	北京哪儿买鞋最便宜？	北京哪买鞋最便宜。	北京哪儿买鞋最便宜？	北京哪买鞋最便宜的	北京哪买鞋最便宜的	北京哪买鞋最便宜	
Speaker0089_22.0	北京哪儿买衣服最好？	北京南买衣服最好。	北京哪里买衣服最好？	北京哪买衣服最好	北京哪买衣服最好	北京哪买衣服最好	
Speaker0089_23.0	英雄联盟买什么英雄好？	英雄联盟买什么英雄好。	英雄联盟买什么英雄好。	英雄联盟买什么英雄好	英雄联盟买什么英雄好	英雄联盟买什么英雄好	
Speaker0089_24.0	穿越火线什么枪最好？	穿越火线什么枪最好。	穿越火线什么枪最好？	穿越火线什么枪最好	穿越火线什么枪最好	穿越火线什么枪最好	
Speaker0089_25.0	广西发洪水了吗？	广西发洪水吗？	广西发洪水了吗？	广西发洪水了吗	广西发洪水了吗	广西发洪水了吗	
Speaker0089_26.0	阿坝州灾情怎么样？	阿坝州再讲怎么样。	阿坝州灾情怎样？	阿坝州灾情怎么样	阿坝州灾情怎样	阿坝州灾情怎样	
Speaker0089_27.0	帮我设置一下明天早上六点的闹钟。	帮我设置一下明天早上六。	帮我设置一下，明天早上六点的闹钟。	帮我设置一下明天早上六点的闹钟	帮我设置一下明天早上六点的闹钟	帮我设置一下明天早上六点的闹钟	
Speaker0089_28.0	帮我设置一下明天晚上八点的闹钟。	帮我设置一下明天晚上八点的闹钟	帮我设置一下，明天晚上八点的闹钟。	帮我设置一下明天晚上八点的闹钟	帮我收着一下明天晚上八点闹钟	帮我设置一下明天晚上八点的闹钟	
Speaker0089_29.0	提醒我明天早上八点要打球。	提醒我明天早上八点打球。	提醒我明天早上八点要打球。	提醒我明天早上八点要打球	提醒我明天早上八点要打球	提醒我明天早上八点要打球	
Speaker0089_30.0	提醒我一下，明天中午十二点我要吃饭。	提醒我一下明天中午十二点我要吃饭	提醒我一下明天中午十二点我要吃饭	提醒我一下明天中午十二点晚上吃饭	提醒我一下明天中午十二点哇吃饭	提醒我一下明天中午十二点晚上吃饭	
Speaker0089_31.0	打开微信。	打开微信	打开微信。	打开微信	打开微信	打开微信	
Speaker0089_32.0	打开三六零手机卫士。	打开三六零手机卫士。	打开三六零手机卫士。	打开三六零手机卫士	打开圣灵手机卫士	打开三零手机卫士	
Speaker0089_33.0	给刘亦菲发短信说，你真漂亮。	给刘亦飞发短信说你真漂亮	刘亦菲发短信说你真漂亮。	给刘亦菲发短信说你真漂亮	给刘亦菲发短信说你真漂亮	给刘亦菲发短信说你真漂亮	
