Speaker0047_1.0	三乘五加二是多少？	三乘五加二是多少。	三乘五加五是多少？	三十五加二十多少	三乘五加五是多少	三乘五加二是多少	
Speaker0047_2.0	五乘五加二是多少？	五十五加二是多少。	五十五加五是多少？	五十五加号多少	五十五加五是多少	五十五加五是多少	
Speaker0047_3.0	北京到苏州是什么价格？	北京到苏州什么价格。	北京到苏州什么价格？	北京到苏州什么价格	北京到苏州什么价格	北京到苏州什么价格	
Speaker0047_4.0	北京到包头的飞机票的价格是多少？	北京到包头的飞机票的价格是多少。	北京到包头的飞机票的价格是多少？	北京到包头的飞机票的价格是多少	北京到包头的飞机票的价格是多少	北京到包头的飞机票的价格是多少	
Speaker0047_5.0	北京到天津火车票的价格是多少？	北京到天津火车票的价格是多少。	北京到天津火车票的价格是多少？	北京到天津火车票的价格是多少	北京到天津火车票的价格是多少	北京到天津火车票的价格是多少	
Speaker0047_6.0	北京到济南火车票的价格是多少？	到济南火车票的价格是多少。	北京到济南火车票的价格是多少？	北京到济南火车票的价格是多少	北京到济南火车票的价格是多少	北京到济南火车票的价格是多少	
Speaker0047_7.0	五道口这边有什么好喝的饮料？	五道口周边有什么好喝的饮料	五道口周边有什么好喝的饮料。	五道口周边有什么好喝的饮料	五道口周边有什么好喝的饮料	五道口周边有什么好喝的饮料	
Speaker0047_8.0	五道口这边有什么好吃的水果？	五道口这边有什么好吃的水果	五道口这边有什么好吃的水果。	五道口这边有什么好吃的水果	五道口这边有什么好吃的水果	五道口这边有什么好吃的水果	
Speaker0047_9.0	附近的酒吧怎么找？	附近的酒吧怎么走	附近的酒吧怎么走？	附近的酒吧怎么走	附近的酒吧怎么走	附近的酒吧怎么走	
Speaker0047_10.0	附近的游泳池怎么找？	附近的游泳池什么时候。	附近的游泳池怎么走？	附近的游泳池怎么走	附近的游泳池怎么走	附近的游泳池怎么走	
Speaker0047_11.0	我可以买淘宝的股票吗？	我可以买淘宝的股票吗？	我被卖淘宝的股票吗？	我可以买淘宝的股票吗	我被卖淘宝的股票吗	我可以买淘宝的股票吗	
Speaker0047_12.0	我可以买五粮液的股票吗？	我给卖五粮液的股票吗？	我给卖五粮液的股票吗？	我可以卖五粮液的股票吗	我给卖五粮液的股票吗	我给你卖五粮液的股票吗	
Speaker0047_13.0	这里有摩拜单车吗？	滞留膜拜单车吗？	滞留膜拜单车吗？	这里有摩拜单车吗	滞留膜拜单车吗	这里有膜拜单车吗	
Speaker0047_14.0	这里有橡皮吗？	这里有橡皮吗？	这里有橡皮吗？	这里有橡皮吗	这里有橡皮吗	这里有橡皮吗	
Speaker0047_15.0	西红柿炒鸡蛋怎么做？	炒鸡蛋怎么做。	西红柿炒鸡蛋怎么做。	西红柿炒鸡蛋怎么做	西红柿炒鸡蛋怎么做	西红柿炒鸡蛋怎么做	
Speaker0047_16.0	扬州炒饭怎么做？	扬州炒饭怎么做。	扬州炒饭怎么做？	扬州炒饭怎么做	扬州炒饭怎么做	扬州炒饭怎么做	
Speaker0047_17.0	新疆在哪里？	新疆在哪里。	新疆在哪里？	新疆在哪里	新疆在哪里	新疆在哪里	
Speaker0047_18.0	北京在哪里？	北京在哪里。	北京在哪里？	北京在哪里	北京在哪里	北京在哪里	
Speaker0047_19.0	上海会下雨吗？	上海会下雨吗？	上海会下雨吗？	上海会下雨吗	上海会下雨吗	上海会下雨吗	
Speaker0047_20.0	广东会出沙尘暴吗？	广东惠州沙尘暴吗？	广东惠州沙尘暴吗？	广东会出沙尘暴吗	广东会出沙尘暴吗	广东惠州沙尘暴吗	
Speaker0047_21.0	我想买一双运动鞋，给我一些推荐呗。	我想买一双运动鞋给我一些推荐呗。	我想买一双运动鞋给我一些推荐呗！	我想买一双运动鞋给我一些推荐贝	我想买一双运动鞋给我一些推荐呗	我想买一双运动鞋给我一些推荐呗	
Speaker0047_22.0	我想买件衣服给我一些建议。	我想买件衣服给我一些建议。	我想买件衣服给我一些建议。	我想买件衣服给我一些建议	我想买件衣服给我一些建议	我想买件衣服给我一些建议	
Speaker0047_23.0	Q Q 游戏怎么玩？	Qq游戏怎么玩。	QQ游戏怎么玩？	QQ游戏怎么玩	QQ游戏怎么玩	QQ游戏怎么玩	
Speaker0047_24.0	斗地主怎么玩？	斗地主怎么玩。	斗地主怎么玩？	斗地主怎么玩	斗地主怎么玩	斗地主怎么玩	
Speaker0047_25.0	足球最近怎么了？	足球最近怎么了。	足球最近怎么了？	足球最近怎么了	足球最近怎么了	足球最近怎么了	
Speaker0047_26.0	篮球最近怎么了？	最近怎么了。	篮球最近怎么了？	篮球最近怎么了	篮球最近怎么了	篮球最近怎么了	
Speaker0047_27.0	六点钟起床帮我定一下闹钟。	六点钟起床帮我订一下闹钟。	六点钟起床帮我定下闹钟。	六点钟起床帮我定下闹钟	六点钟起床帮我定下闹钟	六点钟起床帮我定下闹钟	
Speaker0047_28.0	十二点钟吃饭帮我定一下闹钟。	十二点钟吃饭帮我定下六点闹钟。	十二点钟吃饭帮我定下廖老钟。	十二点钟吃饭帮我定下了闹钟	十二点钟吃饭帮我定下了闹钟	十二点钟吃饭帮我定下两点闹钟	
Speaker0047_29.0	明天我要去飞机场，提醒我一下。	明天我要去飞机场提醒我一下。	明天我要去飞机场，提醒我一下。	明天我要去飞机场提醒我一下	明天我要去飞机场提醒我一下	明天我要去飞机场提醒我一下	
Speaker0047_30.0	明天我要去购物，提醒我一下。	明天我要去购物提醒我一下	明天我要去购物提醒我一下。	明天我要去购物提醒我一下	明天我要去购物提醒我一下	明天我要去购物提醒我一下	
Speaker0047_31.0	帮我打开腾讯游戏我要开始玩。	打开腾讯游戏我要开始玩。	帮我打开腾讯游戏我要开始玩。	帮我打开腾讯游戏我要开始玩	帮我打开腾讯游戏我要开始玩	帮我打开腾讯游戏我要开始玩	
Speaker0047_32.0	帮我打开饿了么 A P P 我要开始点餐。	帮我打开饿了么app我要开始点餐。	帮我打开饿了没屁屁，我要开始点餐。	帮我打开饿了没一副我要开始点餐	帮我打开咯了没pp我要开始点餐	帮我打开诶了吗App我要开始点餐	
Speaker0047_33.0	给杨幂发信息我要跟她合照。	杨幂发信息我要跟他合照。	给杨幂发信息我要跟他合照。	给杨幂发信息我要跟她合照	给杨幂发信息我要跟他合照	给杨幂发信息我要跟他合照	
Speaker0047_34.0	给林俊杰发信息我要跟他合照。	给林俊杰发信息我要跟她合照	给林俊杰发信息，我要跟他合照。	给林俊杰发信息我要跟她合照	给林俊杰发信息我要跟她合照	给林俊杰发信息我要跟他合照	
Speaker0047_35.0	搜索择天记，我要看。	搜索九日天气我要看。	搜索的天气，我要看。	搜索昨天就要看	我要看	搜索昨天季我要看	
Speaker0047_36.0	我要看武林外传。	我要看武林外传。	我要看武林外传。	我要看武林外传	我要看武林外传	我要看武林外传	
Speaker0047_37.0	搜索一下杨幂的最新歌曲。	搜索一下杨幂的最新歌曲。	搜索杨幂的最新歌曲。	搜索一下杨幂的最新歌曲	搜索杨幂的最新歌曲	搜索一下杨幂的最新歌曲	
Speaker0047_38.0	搜索一下胡夏的最新歌曲。	找一下胡夏的最新歌曲	搜索一下胡夏的，最新歌曲。	搜索一下胡夏的最新歌曲	搜索一下胡夏的最新歌曲	搜索一下胡夏的最新歌曲	
