Speaker0008_1.0	十乘三等于几？	知道三等于几。	罗三等于几？	伍加十等于几	萧山哪几	一三等于几	
Speaker0008_2.0	三加二等于几？	三加二等于几。	三加二等于几？	十六万等于几	增加了一节	三加二等于几	
Speaker0008_3.0	北京到广州的机票。	北京到广州的机票	北京到广州的机票。	北京到广州的机票	北京到广州机票	北京到广州的机票	
Speaker0008_4.0	北京到长沙的机票。	北京到长沙的机票	北京到长沙的机票。	北京到长沙的机票	北京到长沙的机票	北京到长沙的机票	
Speaker0008_5.0	北京到长沙的火车票。	北京到长沙的火车票。	北京到长沙的火车票。	北京到长沙的火车票	北京到长沙的火车票	北京到长沙的火车票	
Speaker0008_6.0	北京到天津的火车票。	北京到天津的火车票。	北京到天津的火车票。	北京到天津的火车票	北京到天津的火车票	北京到天津的火车票	
Speaker0008_7.0	附近的烧烤。	附近的烧烤。	附近的烧烤。	附近的烧烤	附近的商场	附近的烧烤	
Speaker0008_8.0	附近的麻辣烫。	附近的麻辣烫。	附近的麻辣烫。	附近的麻辣烫	附近的麻辣烫	附近的麻辣烫	
Speaker0008_9.0	附近的电影院。	附近的电影院。	附近的电影院。	附近的电影院	附近的电影院	附近的电影院	
Speaker0008_10.0	附近的美食街。	附近的美食街。	附近都没时间。	附近的美食街	附近的美食街	附近的美食节	
Speaker0008_11.0	我要买股票。	要买股票。	我要买股票。	我要买股票	我要买股票	我要买股票	
Speaker0008_12.0	现在的股票行情。	股票行情。	现在的股票行情？	现在的股票行情	现在的股票行情	现在的股票行情	
Speaker0008_13.0	我要查电视。	我要看电视。	我要查电视。	我要查电视	我要插电视	我要查电视	
Speaker0008_14.0	我要查电脑。	我要查电脑。	我要查电脑。	我要查电脑	我要查电脑	我要查电脑	
Speaker0008_15.0	我要做辣子鸡丁。	我要做辣子鸡丁。	我要做辣子鸡丁。	我要做辣子鸡丁	我要做辣子鸡点	我要做辣子鸡丁	
Speaker0008_16.0	我要做鱼香肉丝。	我要做鱼香肉丝。	我要做鱼香肉丝。	我要做鱼香肉丝	我要做一套丝	我要做鱼香肉丝	
Speaker0008_17.0	我要去附近银行。	我要去附近银行。	我要去附近银行。	我要去附近银行	我要去附近银行	我要去附近银行	
Speaker0008_18.0	我要去附近邮局。	我要去附近邮局	我要去附近邮局。	我要去附近邮局	我要去附近邮局	我要去附近邮局	
Speaker0008_19.0	今天是否有雨？	看是否有雨？	今天是否有雨？	今天是否有雨	今天是否有雨	今天是否有雨	
Speaker0008_20.0	今天PM二点五是多少？	今天PM二点五是多少。	今天PM二点五是多少？	今天PM二点五是多少	今天PM二点五是多少	PM二点五是多少	
Speaker0008_21.0	我要去优衣库。	我要去优衣库。	我要去优衣库。	我要去优衣库	我要去优衣库	我要去优衣库	
Speaker0008_22.0	耐克最新款跑步鞋。	科最新款跑步鞋。	耐克最新款跑步鞋。	耐克最新款跑步鞋	耐克最新款跑步鞋	耐克最新款跑步鞋	
Speaker0008_23.0	查询一下地下城。	查询一下地下城。	查询一下地下城。	查询一下地下城	查询下	查询一下地下城	
Speaker0008_24.0	查询一下英雄联盟。	查询一下英雄联盟。	查询一下英雄联盟。	查询一下英雄联盟	查询下小熊	查询一下英雄联盟	
Speaker0008_25.0	今天的时事新闻。	今天的时事新闻。	今天的时事新闻。	今天的时事新闻	今天的实事新闻	今天的时事新闻	
Speaker0008_26.0	今天的娱乐新闻。	今天的娱乐新闻。	今天的娱乐新闻。	今天的娱乐新闻	今天的娱乐新闻	今天的娱乐新闻	
Speaker0008_27.0	设置六点半起床。	设置六点半起床。	这是6点半起床。	设置6点半起床	说是六点半起床	设置六点半起床	
Speaker0008_28.0	设置一下二十点的开会闹钟。	大二十点的开会闹钟。	设置一下二十点的开会闹钟。	设置一下二十点的开会闹钟	收拾一下二十点的开会闹钟	设置一下二十点的开会闹钟	
Speaker0008_29.0	设置一下开会的备忘录。	设置一下开会的备忘录。	这是一下开会的备忘录。	设置一下开会的备忘录	这里下开会的备忘录	设置一下开会的备忘录	
Speaker0008_30.0	设置一下起床的备忘录。	设置一下起床的备忘录。	这是下起床的备忘录。	设置一下其中的备忘录	这里下起床的网络	设置一下起床备忘录	
Speaker0008_31.0	打开微信APP。	打开微信app。	打开微信，app。	打开微信App	打开微信app	打开微信App	
Speaker0008_32.0	打开淘宝APP。	打开淘宝app。	打开淘宝app。	爱淘宝APP	爱淘宝app	爱淘宝App	
Speaker0008_33.0	给成龙发短信。	给涛涛发短信。	发程发短信。	非诚勿扰发短信	给成龙发短信	给成龙发短信	
Speaker0008_34.0	给周杰伦发短信。	给周杰伦发短信。	给周杰伦发短信。	给周杰伦发短信	给周杰伦发短线	给周杰伦发短信	
Speaker0008_35.0	搜一下天天向上。	天天向上。	搜一下，天天向上。	搜一下天天向上	松下天天向上	搜一下天天向上	
Speaker0008_36.0	搜一下快乐大本营。	搜一下快乐大本营。	搜一下快乐大本营。	搜一下快乐大本营	搜一下会大本营	搜索一下快乐大本营	
Speaker0008_37.0	搜一下周杰伦的音乐。	放一下周杰伦的音乐。	搜一下，多伦的音乐。	搜一下周杰伦的音乐	搜一下多伦的音乐	搜一下周杰伦的音乐	
Speaker0008_38.0	搜一下王杰的音乐。	搜一下王杰的音乐。	搜一下王杰的音乐。	搜一下王杰的音乐	周小萌洁的音乐	搜一下王杰的音乐	
Speaker0008_39.0	设置成静音模式。	设置成静音模式。	设置成静音模式。	设置成静音模式	设成静音模式	设置成静音模式	
Speaker0008_40.0	设置成会议模式。	设成会议模式。	设置成会议模式。	现场会议模式	顺产会模式	设成会议模式	
Speaker0008_41.0	我要转账。	我要转账。	我要转账。	我要转账	我要转账	我要转账	
Speaker0008_42.0	我要提现。	把提醒。	我要提现。	芭提下	宝鸡县	我要提现	
Speaker0008_43.0	现在的电量情况。	现在电脑情况。	那边的情况。	现在的电量情况	现在店的情况	现在的电量情况	
Speaker0008_44.0	现在用的内存是多少？	因为内存是多少。	现在用的内存是多少？	现在用的内存是多少	现在有内存是多少	现在用的内存是多少	
Speaker0008_45.0	你喜欢做什么呢？	你喜欢做什么呢？	你喜欢做什么呢！	你选做什么呢	你想做什么呢	你喜欢做什么呢	
Speaker0008_46.0	你喜不喜欢运动呢？	你喜不喜欢运动呢？	你喜不喜欢运动啊！	你喜不喜欢运动呢	你喜不喜欢运动呢	喜不喜欢运动了	
Speaker0008_47.0	我现在心情很不好。	我现在心情很不好。	我真的心情很不好。	我现在心情很不好	我现在心情很不好	我现在心情很不好	
Speaker0008_48.0	我现在好高兴啊。	现在好高兴啊。	真的好高兴啊！	现在好高兴啊	现在好高兴啊	真的好高兴啊	
Speaker0008_49.0	给我去拿快递。	帮我去拿快递	给我去拿快递。	给我去拿快递	给我去拿快递	给我去拿快递	
Speaker0008_50.0	给我去倒杯水。	是谁。	给我去倒杯水。	给我去倒杯水	给我倒杯水	给我去倒杯水	
